"Payment #";"Payment date";"Remaining amount";"Principal payment";"Interest payment";"Total payment";"Interest rate"
"1";"11/15/2016";"10000";"357.31";"58.33";"415.64";"7.0"
"2";"12/15/2016";"9642.69";"359.39";"56.25";"415.64";"7.0"
"3";"01/15/2017";"9283.30";"361.49";"54.15";"415.64";"7.0"
"4";"02/15/2017";"8921.81";"363.60";"52.04";"415.64";"7.0"
"5";"03/15/2017";"8558.21";"365.72";"49.92";"415.64";"7.0"
"6";"04/15/2017";"8192.49";"367.85";"47.79";"415.64";"7.0"
"7";"05/15/2017";"7824.64";"370.00";"45.64";"415.64";"7.0"
"8";"06/15/2017";"7454.64";"372.15";"43.49";"415.64";"7.0"
"9";"07/15/2017";"7082.49";"374.33";"41.31";"415.64";"7.0"
"10";"08/15/2017";"6708.16";"376.51";"39.13";"415.64";"7.0"
"11";"09/15/2017";"6331.65";"378.71";"36.93";"415.64";"7.0"
"12";"10/15/2017";"5952.94";"380.91";"34.73";"415.64";"7.0"
"13";"11/15/2017";"5572.03";"383.14";"32.50";"415.64";"7.0"
"14";"12/15/2017";"5188.89";"385.37";"30.27";"415.64";"7.0"
"15";"01/15/2018";"4803.52";"387.62";"28.02";"415.64";"7.0"
"16";"02/15/2018";"4415.90";"389.88";"25.76";"415.64";"7.0"
"17";"03/15/2018";"4026.02";"392.15";"23.49";"415.64";"7.0"
"18";"04/15/2018";"3633.87";"394.44";"21.20";"415.64";"7.0"
"19";"05/15/2018";"3239.43";"396.74";"18.90";"415.64";"7.0"
"20";"06/15/2018";"2842.69";"399.06";"16.58";"415.64";"7.0"
"21";"07/15/2018";"2443.63";"401.39";"14.25";"415.64";"7.0"
"22";"08/15/2018";"2042.24";"403.73";"11.91";"415.64";"7.0"
"23";"09/15/2018";"1638.51";"406.08";"9.56";"415.64";"7.0"
"24";"10/15/2018";"1232.43";"408.45";"7.19";"415.64";"7.0"
"25";"11/15/2018";"823.98";"410.83";"4.81";"415.64";"7.0"
"26";"12/15/2018";"413.15";"413.23";"2.41";"415.64";"7.0"
