"Payment #";"Payment date";"Remaining amount";"principal payment";"Interest payment";"Total payment";"Interest rate"
"1";"04/15/2017";"5000";"185.37";"50.00";"235.37";"12.0"
"2";"05/15/2017";"4814.63";"187.22";"48.15";"235.37";"12.0"
"3";"06/15/2017";"4627.41";"189.10";"46.27";"235.37";"12.0"
"4";"07/15/2017";"4438.31";"190.99";"44.38";"235.37";"12.0"
"5";"08/15/2017";"4247.32";"192.90";"42.47";"235.37";"12.0"
"6";"09/15/2017";"4054.42";"194.83";"40.54";"235.37";"12.0"
"7";"10/15/2017";"3859.59";"196.77";"38.60";"235.37";"12.0"
"8";"11/15/2017";"3662.82";"198.74";"36.63";"235.37";"12.0"
"9";"12/15/2017";"3464.08";"200.73";"34.64";"235.37";"12.0"
"10";"01/15/2018";"3263.35";"202.74";"32.63";"235.37";"12.0"
"11";"02/15/2018";"3060.61";"204.76";"30.61";"235.37";"12.0"
"12";"03/15/2018";"2855.85";"206.81";"28.56";"235.37";"12.0"
"13";"04/15/2018";"2649.04";"208.88";"26.49";"235.37";"12.0"
"14";"05/15/2018";"2440.16";"210.97";"24.40";"235.37";"12.0"
"15";"06/15/2018";"2229.19";"213.08";"22.29";"235.37";"12.0"
"16";"07/15/2018";"2016.11";"215.21";"20.16";"235.37";"12.0"
"17";"08/15/2018";"1800.90";"217.36";"18.01";"235.37";"12.0"
"18";"09/15/2018";"1583.54";"219.53";"15.84";"235.37";"12.0"
"19";"10/15/2018";"1364.01";"221.73";"13.64";"235.37";"12.0"
"20";"11/15/2018";"1142.28";"223.95";"11.42";"235.37";"12.0"
"21";"12/15/2018";"918.33";"226.19";"9.18";"235.37";"12.0"
"22";"01/15/2019";"692.14";"228.45";"6.92";"235.37";"12.0"
"23";"02/15/2019";"463.69";"230.73";"4.64";"235.37";"12.0"
"24";"03/15/2019";"232.96";"233.04";"2.33";"235.37";"12.0"
